ox,oy,oz,h1x,h1y,h1z,h2x,h2y,h2z
-9.108,-0.290,1.923,-8.440,-0.223,2.609,-9.386,0.695,2.000
-7.419,3.150,-3.774,-8.086,3.668,-4.321,-7.788,3.245,-2.879
-6.029,9.233,-1.701,-5.137,9.440,-2.070,-6.312,8.590,-2.419
0.800,4.540,3.731,1.723,4.568,4.078,0.354,4.453,4.623
-0.667,3.063,1.847,0.076,3.545,2.270,-1.210,2.886,2.575
10.374,1.180,-9.104,11.251,0.697,-9.015,9.752,0.700,-8.526
-8.227,-7.462,-11.346,-8.231,-7.082,-12.239,-7.975,-8.384,-11.557
4.219,11.982,-6.349,3.716,12.732,-6.572,4.999,12.289,-5.956
8.619,8.788,-10.391,7.729,9.202,-10.400,8.596,8.309,-9.464
10.652,9.845,10.959,10.415,10.738,11.228,10.381,9.875,9.983
-6.537,1.767,1.966,-6.799,1.566,1.090,-6.617,0.968,2.445
-2.688,-5.508,0.013,-2.559,-4.543,0.144,-2.320,-5.809,0.817
1.176,9.336,9.784,1.898,9.950,10.148,1.011,8.586,10.383
-10.715,-8.519,3.471,-9.770,-8.476,3.334,-10.785,-9.349,3.976
9.423,3.172,8.397,8.628,3.533,8.832,10.056,3.250,9.097
8.840,0.238,-2.949,8.655,1.070,-2.445,9.310,-0.269,-2.201
11.266,0.498,8.835,11.335,1.414,9.118,11.894,0.301,8.059
11.557,7.594,-6.960,11.699,7.217,-7.834,12.253,8.293,-6.957
-10.686,11.053,-4.053,-10.656,10.170,-3.627,-10.274,11.644,-3.391
8.314,11.946,-4.211,7.735,11.515,-3.496,8.818,11.110,-4.395
7.799,-5.160,-0.452,8.700,-5.117,-0.737,7.465,-4.446,-1.009
3.744,-2.671,-9.968,2.798,-2.489,-9.877,3.768,-3.393,-10.680
4.054,1.482,-12.446,3.220,2.083,-12.446,3.665,0.626,-12.371
-5.361,9.278,10.014,-6.155,9.333,10.575,-5.360,10.066,9.483
-7.296,3.904,14.403,-6.565,4.246,13.858,-7.767,3.275,13.821
11.308,-5.560,6.286,10.976,-6.452,5.906,10.836,-5.035,5.659
-0.737,3.297,-1.163,-0.136,4.009,-1.016,-0.582,2.860,-0.336
1.965,8.439,-3.362,1.910,7.489,-3.598,1.281,8.762,-3.900
-9.633,12.392,-6.172,-10.393,12.980,-6.167,-9.907,11.783,-5.504
9.994,7.650,-0.739,9.087,7.387,-0.646,9.814,8.619,-0.696
-2.509,4.898,-6.137,-1.778,4.997,-5.417,-2.936,4.101,-5.908
-8.185,10.663,-8.049,-8.669,11.329,-7.538,-7.671,11.411,-8.467
2.726,-3.198,0.589,2.750,-3.934,1.193,3.398,-2.500,0.986
0.548,-6.122,-3.742,0.961,-5.528,-4.389,-0.155,-6.512,-4.227
3.076,-7.684,-3.935,2.762,-7.857,-4.887,3.628,-6.931,-4.176
-1.604,-4.629,-5.419,-2.524,-5.044,-5.529,-1.426,-4.584,-6.412
-10.882,11.222,4.297,-10.490,10.377,4.702,-11.154,11.074,3.382
1.806,-4.268,-5.611,1.805,-3.307,-5.755,1.102,-4.574,-6.243
-6.808,-2.944,6.130,-7.613,-2.713,5.671,-6.772,-2.112,6.618
4.274,-5.468,-4.618,3.532,-5.292,-5.230,4.369,-4.592,-4.162
11.692,10.361,1.852,12.227,9.774,1.328,11.149,9.662,2.278
8.594,12.110,2.800,7.822,12.390,2.476,9.142,12.579,2.178
9.657,2.580,5.723,10.079,3.423,5.474,9.731,2.690,6.689
-7.132,3.613,9.244,-7.658,3.051,9.815,-6.381,3.773,9.951
-11.030,-5.888,0.551,-10.151,-6.388,0.610,-10.587,-5.109,0.839
9.997,3.873,-4.826,10.879,4.242,-4.968,9.985,2.997,-5.232
-6.110,5.397,-6.496,-6.905,5.751,-6.920,-6.070,4.506,-6.948
9.000,8.092,-7.886,8.512,8.129,-7.073,9.907,8.049,-7.535
-6.723,11.354,0.392,-6.740,10.654,-0.277,-7.095,10.941,1.163
